"Id","Type","ParentId","Title"
"666","Feature",,"Joke Rating System - Persistent Multi-User Ratings"
"667","User Story","666","Database schema and stored procedure for joke ratings"
"668","Task","667","Add RatingUserKey column to JokeRating table"
"669","Task","667","Add unique constraint (JokeId + RatingUserKey)"
"670","Task","667","Create/update usp_Joke_Rate stored procedure"
"671","Task","667","Create migration patch script for RatingUserKey"
"672","User Story","666","Repository and data access layer for joke ratings"
"673","Task","672","Update IJokeRepository interface for rating operations"
"674","Task","672","Implement rating methods in JokeSQLRepository"
"675","Task","672","Implement fallback rating methods in JokeJsonRepository"
"676","User Story","666","Rating user key resolution service (auth + anonymous IP)"
"677","Task","676","Create RatingUserKeyResolver service"
"678","Task","676","Register RatingUserKeyResolver in DI"
"679","User Story","666","API endpoints for rating submit and summary"
"680","Task","679","Add rating submit/update endpoint (POST /api/joke/rate)"
"681","Task","679","Add rating summary endpoint (GET /api/joke/{id}/rating/summary)"
"682","Task","679","Add current user rating endpoint (GET /api/joke/{id}/rating/current)"
"683","User Story","666","UI integration for joke rating component"
"684","Task","683","Re-enable rating markup in JokeDisplayComponent.razor"
"685","Task","683","Complete rating logic in JokeDisplayComponent.razor.cs"
"686","Task","683","Wire rating component to API (if API-first approach chosen)"
"687","User Story","666","Automated tests for joke rating feature"
"688","Task","687","Unit tests - repository (SQL path)"
"689","Task","687","Unit tests - RatingUserKeyResolver"
"690","Task","687","Integration tests - rating API endpoints"
"691","Task","687","Playwright UI tests for rating flow (optional)"
"692","User Story","666","Documentation and hardening for joke rating feature"
"693","Task","692","Update README / documentation for rating feature"
"694","Task","692","Code review and refinement"
